WORD,AFFIX,NOUN_CLASS,DESCRIPTION,POS,PAGE-COLUMN,FULL_ENTRY
gucûngēra,-rteye,,observer; être dans lexspectative,v.,P60-C2,"gucûngēra, -rteye, (-cûûng--) observer; être dans lexspectative, Gucûngëra umuntu, aller à la rencontre de ggn. Gucûngēra ikintu, guetter ggch."
gucungira,-ye,,surveiller à la place de,v.,P60-C2,"gucungira, -ye, (sw.), (cfr -cung-), surveiller à la place de. Monter la garde à tel endroit. Syn. kurindira, ."
incăngu,,9,"rachat, caution, rédemption",n.,P60-C2,"incăngu, 9|(0, (cfr -cûngur-), rachat, caution, rédemption. Syn. ingwăti, igitâmbo."
gucungūra,-ye,,"se déplacer, se retirer",v.,P60-C2,"gucungūra, -ye, (cfr -cung-), se déplacer, se retirer, Ntùgacungūre, tu ne dois pas partir, || Diminuer"
gucûngura,-ye,,"sauver, racheter, délivrer, remplacer",v.,P60-C2,"gucûngura, -ye, (cfr -cŭngu 9), sauver, racheter, délivrer, remplacer. || Gucûngura igúfa, travailler en vam, par crainte; Sauver sâ peau. Umunyakazi wirêmbo acungúra urugó, un serviteur, un esclave."
igicûngurá,ibi-,,bière réservée aťx porteurs de cruches de bière chez celui qui organise une fête.,n.,P60-C2,"igicûngurá, ibi-, (cfr -cûngur-), bière réservée aťx porteurs de cruches de bière chez celui qui organise une fête."
gucungūrira,-ye,,"faire place, laisse-le passer",v.,P60-C2,"gucungūrira, -ye, (cfr -cungūr-), faire place, Mucungūrire, laisse-le passer."
icûngurwa,-,,rachat,n.,P60-C2,"icûngurwa, 5, (cfr -cûngur-), rachat. Syn. ikízwa, irókorwa. ,"
gucungūiza,-,,"déplacer, changer de lieu",v.,P60-C2,"gucungūiza, (cfr -cungūr-), déplacer, changer de lieu."
gucûnguza,-je,,racheter au moyen de; libérer moyennant telle chose,v.,P60-C2,"gucûnguza, -je, (cfr -cûngur-), racheter au moyen de; libérer moyennant telle chose, Syn. kugombōēra. On rachetait le coupable lié è un arbre, en amenant ingoróre q.v."
intácungûza,-,9|10,inamovibte,v.,P60-C2,"intácungûza, 9|10, (cfr -cungūz-), inamovibte."
umucûnguzi,aba-,1|2,"sauveur, libérateur",n.,P60-C2,"umucûnguzi, aba- 1|2, (cfr -cûngur-), sauveur, libérateur. Syn. umukíza."
umucûngwá,imi-,,orange,n.,P60-C2,"umucûngwá, imi-, (sw.), orange. Oranger,"
icûngwá,ama-,,agrumes,n.,P60-C2,"icûngwá, ama-, agrumes."
ubucúnicúni,cun-,14,"diffamation, médisance",n.,P60-C2,"ubucúnicúni, 14, (cfr -cun-), diffamation, médisance. Syn. urugúnigúni. ."
umucúno,imi-,3|4,insouciance,n.,P60-C2,"umucúno, imi-, 3|4, (cfr -cún-), insouciance."
gucunyacunya,-nye,,accabler (par son poids),v.,P60-C2,"gucunyacunya, -nye, (cfr -cun-), accabler (par son poids). Syn. kuremēra."
umucunzi,aba-,2,"surveillant, gardien",n.,P60-C2,"umucunzi, aba-, |2, (sw.), (cfr -cung-), surveillant, gardien. Syn. umugenderezi."
icùpa,ama-,S56,bouteille,n.,P60-C2,"icùpa, ama- S56, (sw.) bouteille, Icùpa ry'inzóga, une bouteille de bière, Ictpa ry'âmâzi, une bouteille d'eau. ."
agacùpa,udu-,12|13,"flacon, petite bouteille",n.,P60-C2,"agacùpa, udu-, 12)13, (cfr -cùpa 5), flacon, petite bouteille. Burette,"
Mpagacûpa,,,allumeuse; sobriquet de la femme qui use de cette formule comme entrée en matière pour attirer ses clients.,n.,P60-C2,"Mpagacûpa, la, (bá donner, -cúpa 12 bouteille de bière), allumeuse; sobriquet de la femme qui use de cette formule comme entrée en matière pour attirer ses clients."
gucupira,-ye,,devenir pauvre.,v.,P60-C2,"gucupira, -ye, devenir pauvre. Syn. gukena. Faire faillite. Syn. kugundëēra."
gucára,-ze,,forger.,v.,P60-C2,"gucára, -ze, forger. Fig. Gucúra umuntu bufûĉni na buhoro, maltraiter qqn, en faire sa chose, lui faire subir de mauvais traitements, || Mettre à lenvers. Gucúra intêmbé, culbuter, faire la culbute. Gucúra imêndé, citlbtuter. Fig. Mettre l'âme à lenvers, émouvoir. Picoter, provoquer des picotements, causer des pulsations, Gucúra intimba, chanter des complaintes. || Manger ptus que les autres, prendre plus gue sa part (de boisson, de nourriture), Prov, 31, 237, 1590, 2062, (-w- 1456). TRouUwBoRsTt 128."
kwfcura,-ze,,avoir un pressentiment.,v.,P61-C1,"kwfcura, -ze, (efr -cúr-), avoir un pressentiment. Craindre. Syn. kwiyotsa. Ndicura kw âzáâ, je crains gwil ne revienne pas. Wīcura ikí?, de guoi as-tu peur ? || Dilapider ses biens. Prov. L."
gucûra,-ye,,ramener sa femme.,v.,P61-C1,"gucûra, -ye, ramener sa femme, faire revenir sa femme. || Epouser une veuve, Bameze nk'âbâna bîwé kukó yacûye nyina wâbo, elles sont considérées comme ses filles à lui parce qu'il a épousé leur mère. || Gucûra inká, ramener les vaches du pâturage à la maison. Basa nizo bacūyé, ils ressemblent aux veaux quwils rentrent. || Gucûra abakózi, congédier; permetire aux ouvriers de rentrer. || Vyamucûye, i wa pas réussi. Prov. 1674."
kwîcūra,-ye,,revenir de soi-même.,v.,P61-C1,"kwîcūra, -ye, (cfr -cûr-), revenir de soi-même. Rentrer de lui-même (bétail). Rejoindre le dornicile conjugal (femme qui était rentrée chez ses parents). | Kwìcūra ukfizanaa, se tirer d'affaire tout senl."
incôârabwênge,,,,v.,P61-C1,"incôârabwênge, v. -ênge."
gucúrama,mye,,"être placé en sens inverse, être mis tête en bas, sens dessus dessous.",v.,P61-C1,"gucúrama, mye, (cfr -cúr- culbuter), être placé en sens inverse, être mis tête en bas, sens dessus dessous. Uburiri buracúramye, le lit est fait à l'envers, la tête aux pieds. Etre incline. Haracúramye, le sol est en pente. || Diminuer. Inycnko yācúramye, ta fièvre diminue, baisse. || S'endormir. Yaciye acúrama, il s'est endormi immédiatement,"
gucúramanga,nze,,être bosselé.,v.,P61-C1,"gucúramanga, nze, (cfr cúram), être bosselé, MONIUEHUX,"
eucúramike,-tse,,être à Penvers; renverser.,v.,P61-C1,"eucúramike, -tse, (cfr -cúram-), ĉtre à Penvers; renverser. Placer sens dessus dessous, || Mal préparer (le lit)."
gucúramura,-ye,,"surélever la tête, mettre un appui-tête.",v.,P61-C1,"gucúramura, -ye, (cfr -cúram-), surélever la tête, mettre un appui-tête. Syn. guségamura."
igicurâne,,,Rhume de cerveau,n.,P61-C1,"igicurâne, ibi, 78, (cfr -cúr- picoter), rhume, coryza. Syn, akamăngu. Rhume de cerveau. Syn. agahiri. Rhume de poitrine Syn. inkórorá."
gucúranguka,-tse,,tomber à la renverse,v.,P61-C1,"gucúranguka, -tse, (cfr -cúr-), tomber à la renverse, culbuter, Syn. (pop.) guhénuza."
gucúranguza,-je,,"faire rouler, renverser",v.,P61-C1,"gucúranguza, -je, (cfr -cúr-), faire rouler, renverser. Syn. gutêmbagaza. j| Gucúranguza umuvyêyi, mépriser et négliger ses vieux parents."
umucûûrano,2ba-,2ba-,veuve remarice,n.,P61-C1,"umucûûrano, 2ba-, 1|2, (cfr -cûr-), veuve remarice."
gucúrānura,-ye,,"vider, transvaser",v.,P61-C1,"gucúrānura, -ye, (cfr -cúr-), vider, transvaser."
gucúranwa,-nwe,,être en compagnie de goinfres,v.,P61-C1,"gucúranwa, -nwe, (cfr -cúr-), être en compagnie de goinfres (qui se pressent de manger au même plat de peur de rester sur leur faim). Manger avec empressement, gloutonnement, Se chaparder mutuellement, se disputer ce qwon distribue, s'arracher tout ce qui tombe sous la main, Syn. gusahuranwa."
gucúranyanga,-nze,,provoguer des picotements,v.,P61-C1,"gucúranyanga, -nze, (cfr -cúr-), provoguer des picotements, donner la chair de poule. Emmouvoir. Donner des frissons de plaisir en jouant de la cithare. Jouer d'un instrument de musique. Var, gucúraranga."
umucúranyango,imi,3l4,cœur de lièvre,n.,P61-C1,"umucúranyango, imi, 3l4, (cfr -cúranyang-), cœur de lièvre, poltron, pleutre. Syn. umutinyi,"
umucúrańyi,aba-,1|2,"accapareur, gourmand",n.,P61-C1,"umucúrańyi, aba-, 1|2, (cfr -cúr-), accapareur, gourmand, qui accapare la nourriture, la boisson."
gucúrarangira,-ze,,émouvoir en jouant dun instrument de musique,v.,P61-C1,"gucúrarangira, -ze, (cfr -cúr-), émouvoir en jouant dun instrument de musique, Var. gucúranyanga. «lnkezi yacúrarangiye ingurube iti genda kabóko ndanyúzwee, un Thrionomys joue de la harpe en l'honneur du sanglier qui lui dit: va, mon cher, je suis émerveillé.» Plus fait douceur que violence."
umucúraranzi,aba-,1|2,cithariste,n.,P61-C2,"umucúraranzi, aba-, 1|2, (cfr -cúrarang-), cithariste."
gucúrarara,-ye,,"diminuer d'acuité, baisser (fièvre). Se calmer (personne en colère).",v.,P61-C2,"gucúrarara, -ye, (cfr -cúr-), diminuer d'acuité, baisser (fièvre). || Se calmer (personne en colère)."
amacûre,-,6,lait baratté,n.,P61-C2,"amacûre, 6, (rw.), (cfr -cúr- culbuter), lait baratté, petit- Jait, Ant. imfyûfyú."
gucúrēhba,-she,,"se calmer, sapaiser",v.,P61-C2,"gucúrēhba, -she, (cfr -cúro 7), se calmer, sapaiser. || Etre soulagé. Yâ ndwâra yācúrēshe, le malade va sensiblement mieux. Enga nguhbé umùûti; aramúha nawé aranywá yumva biracúrēshe, tiens, je vais te donner un remède; elle lui donne (du lait), i en boit et en esi soulagé,"
Abacùúri,,2,très bonne famille hutu,n.,P61-C2,"Abacùúri, 2, très bonne famille hutu. Ils avaient la réputation de pouvoir éviter les pièges."
igicùri,-,78,"cruche (fig.), bête, peu intelligent, niais",n.,P61-C2,"igicùri, ibi, 78, (cfr -cúrik-), cruche (fig.), bête, peu intelligent, niais,"
bicùri,,9a,gourde,n.,P61-C2,"bicùri, 9a, (poét.), (cfr -cúri 9), gourde Ou CYHchon à iong col lequel on réserve de la bière au maître de la maison, « Umugóre aménye bicúri ati mbëga mwănanje tugiré dūte kó tumennyé ivyhora bídusabira, une fenme vient de casser la gourde de son mari. Âh, s'écrie-telle, qwallons-nous faire, mon enfant, puisque fai brisé ce gui servait à nous attirer les faveurs de ton père?» Est dit par celle qui risque une scène de ménage."
incúri,,910,bière réservée uniquement au maître de la maison,n.,P61-C2,"incúri, 910, (cfr -curík-), bière réservée uniquement au maître de la maison. Prov. 1796, 3449, 3524."
ubucùri,,14,"inversé, porté ou couché à envers",adj.,P61-C2,"ubucùri, 14, (cfr -cúrik-), inversé, porté ou couché â envers. Gutwâra ubucùri, porter un objet à lenvers."
gucúrika,-tse,,"être facile à forger, se forger facilement",v.,P61-C2,"gucúrika, -tse, (cfr -cúr-), être facile à forger, se forger facilement. Mettre à lVenvers, inverser, retourner de haut en bas. «Băbariye Samăndari bati wă mugabo ugatwara imiganda uyicçeritse ? Ati nīmukira abó ntashāká, on dit à Samandari: tu portes tes chevrons à l'envers. Et lui de répondre: je vais emménager dans un gue je mwaime pas.» On fait mal ce fait à contre-cœur."
kwîcurikīra,-riye,,se mettre la téte entre les genoux,v.,P61-C2,"kwîcurikīra, -riye, (cfr -cúrik-), se mettre la téte entre les genoux, || Etre triste."
incuríkirane,,9|19,en sens inverse,n.,P61-C2,"incuríkirane, 9)19, (cfr -cúrik-), en sens inverse. Syn. ubuctri. Kurambika incuríkirane, mettre par terre à"
gueúrikiranya,-nije,,"mettre en tête-bêche, placer en sens inverse, en partie face vers le sol, en partie face vers Je haut",v.,P61-C2,"gueúrikiranya, -nije, (cfr -cúrik-), mettre en tête-bêche, placer en sens inverse, en partie face vers le sol, en partie face vers Je haut."
gucûrira,-ye,,"ramener le bétail, parquer le troupeau",v.,P61-C2,"gucûrira, -ye, (cfr -cûr-), ramener le bétail, parquer le troupeau."
incúro,,,mesure,n.,P62-C1,"incúro, (cfr -cúrūr-), mesure. Incúro y'âmâzi, niveau d'eau. || Cutbute, Yikubise hāsi imcúro evyiri, il est tombé deux fois."
igicúròndâriye,-rârira,,,v.,P62-C1,"igicúròndâriye, v. -rârira."
gucuruguta,-se,,"accabler de demandes, de guestions",v.,P62-C1,"gucuruguta, -se, accabler de demandes, de guestions."
imicuruguto,-gucúrumba,4,questions ou demandes répétées et ennuyeuses,n.,P62-C1,"imicuruguto, 4, (cfr -curugut-), questions ou demandes répétées et ennuyeuses. Syn. umubázaagizo. - gucúrumba, -mvye, se demener, Saffairer."
umucúrumbo,imi-,34,agitation,n.,P62-C1,"umucúrumbo, imi-, 34, (cfr -cúrumb-), va-etvient, agitation. Syn. umuzêmbagiriko."
gucúrūra,-ye,,renverser,v.,P62-C1,"gucúrūra, -ye, (cfr -cúr-), renverser, culbuter. Syn. gutêmbagara. Aratêmbagaye acúrūra amaguru asúbira hbējuru, i est tombé et il a culbuté les quatre fers en Fair. |! Revendre avec bénéfice."
gucúrūza,-je,,faire du commerce,v.,P62-C1,"gucúrūza, -je, (cfr -cúrûur-), faire du commerce. Syn, kudândaza."
umucúrūzli,aba-,1|2,commerçant,n.,P62-C1,"umucúrūzli, aba- 1|2, (cfr -cúrūr-), commerçant, négociani. Syn. umudăndaza."
banigincùti,-nìig-,9|10,"petit sac, porte-monnaie",n.,P62-C2,"banigincùti, 12a|13a, (-nìig- étrangler, -cùūti 9, 10 parent, ami), petit sac, porte-monnaie placé sous la ceinture, Banigìncùti kātóbotse, ma bourse est percée, Ntiwonkorera murí banigìnctti ?, est-ce que tu ne pourrais pas trouver gach. pour moi dans le fond de ta bourse? — Il permet de se débarrasser des quémandeurs: on ne devine pas où se trouve éventuellement l'argent qu'on désire emprunter et, même si on soupçonne que l'autre n'est pas démuni, nul n'osera s'en prendre directement à sa bourse,"
agacūùti,udu-,9,ami; parent éloigné,n.,P62-C2,"agacūùti, udu-, (cfr -cùti 9), ami; parent éloigné,"
ubucūûti,,14,"parenté, relation, lien de consanguinité, d'amitié",n.,P62-C2,"ubucūûti, 14, (cfr -cùti 9), parenté, relation, lien de consanguinité, d'amitié. Nta bucùti bwumu gòre, (loc. prov.), la voix du sang entraîne la femme vers les siens, non vers le clan de son mari."
gucûtsa,-kije,,sevrer,v.,P62-C2,"gucûtsa, -kije, (cfr -cûk-), sevrer."
umucătsa,imi-,,"Kotschya strigosa DEWIT. et DUVIGN,",n.,P62-C2,"umucătsa, imi-, Kotschya strigosa DEWIT. et DUVIGN,"
gucuvya,-bije,,"calmer, apaiser, tempérer. Diminuer.",v.,P62-C2,"gucuvya, -bije, (cfr -cub-), calmer, apaiser, tempérer. Syn. guhórahoza. || Abatsser. Gucuvya ijwí, parler doucement. Diminuer. Gucuvya inzóga, boire pour faire baisser le niveau de la bière. Gucuvya umuntu, faire taire qgni. Syn. kunúmīska."
gucuyuka,-tse,,"perdre de son éclat, se détériorer, se déteindre (étoffe).",v.,P62-C2,"gucuyuka, -tse, perdre de son éclat, se détériorer, se déteindre (étoffe). Syn. gusërūka."
gucūza,-je,,"dépouiller un cadavre de ses habits, ses ornements, ses parures.",v.,P62-C2,"gucūza, -je, ou -jije, dépouiller un cadavre de ses habits, ses ornements, ses parures. Bāmucūje, on lui a tout enlevé, Bamucūjije ivyó yarí yâmbaye, on lavait dépouillé de tout ce qu'il avait sur le Corps."
gucúza,-jije,,rappeler malicieusement le souvenir d'un morti,v.,P62-C2,"gucúza, -jije, (cfr -cúr-), rappeler malicieusement le souvenir d'un morti. Gucúza umuntu, prononcer le nom d'un défunt (et être ainsi présage de malheur: «le wivant chasse le mort »)."
umucúmito,imi-,3|4,"partie de la bête réservée au chasseur qui, le premier, a touché le gibier.",n.,P59-C2,"umucúmito, imi-, 3|4, (cfr -cúmit-), partie de la bête réservée au chasseur qui, le premier, a touché le gibier. || Blessure causée par la lance. Cfr -cúmito 7."
igicúmito,ibi-,7i8,part gui revient de droit au chasseur selon les modalités suivantes.,n.,P59-C2,"igicúmito, ibi-, 7i8, (cfr -cúmit-), part gui revient de droit au chasseur selon les modalités suivantes ; une patte de devant (ukubóko) à celui qui le premier a vu la bête ou dont le chen l’a levée, même si elle est abattue par d'autres chasseurs; une patte également à cehu qui le premier a touché le gibier, même si la bête est achevée par d'autres. En cas de battue organisée par le chef, tout le tableau de chasse lui appartenait et il pouvait le distribuer à sa guise, mais en pratique, il observait les règles concernant les particuliers, i"
icúmu,ama-,,lance.,n.,P59-C2,"icúmu, ama-, (cfr -cúmur-), lance. Syn. ikōbero, Sêrutāma ayiha icúmu ryó mw-rùgu, impfîzi igwa igáramye nkikubiswe n'inkúba, Compère Mouton, d'un coup de lance à la nuque, tne le taureau qui tombe les pattes en lair, comme foudroyé. Icúmu ryurubuga, rance entièrement en métal et symbolisant Kiranga dans les cérémonies du kubandwa. ry'uruhŭûga, rigizwé nîcûma ryōse kuva ku muhŭúnda gushbika ku bûgi, rikunda kwîtwaza abagabo, la lance de parade qui est entièrement en fer, depuis sa pointe jusqu'au bout du fer de lance, sert souvent aux hommes pour s'y appuyer. Prov. 31-32, 517, 657, 1015, 1300, 1337, 1978, 1999, 2202, 397, (cL 12, 1633). M.R.A.C. 41.730-41.732, 41.734, 41.980-41.982. TROUWBORST 128."
umushiîngacúmu,aba-,12,homme honorable.,n.,P59-C2,"umushiîngacúmu, aba-, 12, (-shing- ficher, -cúmu 5 notable, homme honorable. Syn. umunéga. — Nul ne pouvait introduire des armes dans l'enceinte des grands. Celui qui demandait un entretien, lorsqu'il était introduit dans enceinte, laissait sa lance fichée devant l'entrée. Íl était honorable dďėétre reçu en audience et cet bonneur est souligné par le présent vocable: «celui qui a le droit de planter sa lance chez les grands»."
agashingūracúmu,udu-,12|f3,le coup de l'étrier,n.,P59-C2,"agashingūracúmu, udu- 12|f3, (-shingūrdéplanter, retirer, -cúmu 5 fance), le coup de l'étrier. Syn. agashîinguramýhňnda, || Surplus. Avant de déplanter sa lance, pour s'en retourner, (cfr l'articulet précédent), celui. qui a été admis dans Pintimité du maître de céans, se voit offrer une dernière gorgée de bière. Le diminutif de cl. 12 suggère qu'il ne s'agit que dun peu de bière, ou encore que la boisson est estimabie. La variante agashinguramúhûnda sous-entend quwon a déjà pris sa lance, mais qu'on ja remettra en place. Au lieu de parler de lance dans ce cas, on parle de l'embout métallique, la partie pour le tout."
gucúmukura,-ye,,souffrir,v.,P59-C2,"gucúmukura, -ye, (cfr -cúm-), souffrir, Ubwo uboná yarácumukuye, i a beaucoup souffert dans sa vie. Accomplir un travail fatigant. Se donner de la peine. Àtunze acúmukuye, il est devenu riche en travaillant d'arrache-pied. | Etre humilié."
gucúmukuza,-je,,Rarceler,v.,P59-C2,"gucúmukuza, -je, (cfr -cúmukur-), Rarceler."
gucúmura,-ye,,"commettre un crime, pécher, mal agir, mal faire",v.,P59-C2,"gucúmura, -ye, (cfr -cúm-), commettre un crime, pécher, mal agir, mal faire. Gucúmura ku mwămi, commettre un crime de lèse-majesté, Icúmi ridácumúra, exactement dix. — Dix est un nombre aimé, favorable, qui suggère la richesse, l'abondance (dix enfants signifient unce famille bien enracinée, dix vaches forment un troupeau et sont un signe évident de richesse louangeux pour le propriétaireė etc.). TROUWBORST 136."
kwîcuza,-jije,,prononcer le nom d'un défunt de la famille à laquelle on appartient,v.,P62-C2,"kwîcuza, -jije, (cfr -cúz-), prononcer le nom dun défunt de la famille à laquelle on appartient."
gucçûza,-jije,,faire ramener le bétail au kraal,v.,P62-C2,"gucçûza, -jije, (cfr -cûr-), faire ramener le bétail au kraal. Faire renirer les troupeaux. Umwămi yacûjije inyána, le roi a ramené les veaux (formule polie pour suggérer qu'un grand s'est permis de dire une contre-vérité). || Faire revenir sa femme au domicile conjugal."
umvcúzi,aba-,,forgeron,n.,P62-C2,"umvcúzi, aba-, (cfr -cúr-), forgeron. Syn. umuhêshi, Umucúzi n'umufásha bagafata ryâ buye ry'ubutáre bakarihonda gushika ahó twōse tubí túvamwó bakaríihingūramwo ibikórēsho vy'ukurima: amasúka n'imihoro, le forgeron et son aide prennent ce minerai de fer et le concassent jusqu’à ce que tous les corps étrangers en sortent et ensuite ils en fabriquent des outils de labour: des houes et des serpettes. Prov. 553, 1644. TROUWBORST 128."
ubucúzi,-cîr-cúr-,14,art de forger,n.,P62-C2,"ubucúzi, 14, (cîr -cúr-), art de forger. Syn. ubuhêshi."
umucûzi,imi-,3|4,sauce,n.,P62-C2,"umucûzi, imi, 3|4, (sw.), sauce. Syno umúfa."
imicūzo,(cfr -cūz-),4,dépouilles,n.,P62-C2,"imicūzo, 4, (cfr -cūz-), dépouilles, tout ce qu'on enlève du cadavre avant de PFinhumer. TROUWBORST 163."
cwe!,(inv.),,silence!,interj.,P62-C2,"cwe!, (inv.), silence! Syn. ce!, nume!"
gucwekera,-reye,,paresser,n.,P62-C2,"gucwekera, -reye, paresser. Syn. kunebwa."
iewende,ama-,5|6,pot à beurre,n.,P62-C2,"iewende, ama-, 5|6, pot à beurre. Prov. 163."
ikinyamacwende,ibi-,718,coccinelle,n.,P62-C2,"ikinyamacwende, ibi-, 718, coccinelle,"
da,,,dăta,v.,P63-C1,"da, v. dăta."
ubugomànsnda,,14,ventre gonfle,n.,P63-C1,"ubugomànsnda, 14, (poét.), ventre gonfle."
iheberànda,ama-,5|6,famine,n.,P63-C1,"iheberànda, ama-, 5|6, (-héb- abandonner, -da 9 ventre), famine, Syn. ikigoyi."
umuhozànda,imi,3(4),ventre,n.,P63-C1,"umuhozànda, imi, 3(4, (hóz- calmer, -da 9 ventre), Mussaenda arcuata POIR."
amamirànda,mir-,6,secrets,n.,P63-C1,"amamirànda, 6, (mir- avaler, -da 9 ventre), secrets. Amajambo yamamirànda, des confidences,"
umunyandámbi,aba-,12,"personne d'un naturel désagréable, mauvais caractère",n.,P63-C1,"umunyandámbi, aba-, 12, (-da 9 ventre, -bi mauvais), personne d'un naturel désagréable, mauvais caraaacière."
umunyandànzīizá,aba-,1|2,"personne affable, affectueuse",n.,P63-C1,"umunyandànzīizá, aba-, 1|2, (-da 9 ventre, -zá bon), personne affable, affectueuse."
akaramanda,ram-,9,"rancune tenace, inimitié",n.,P63-C1,"akaramanda, Í2, (-ram- durer longtemps, -da 9 venire), rancune tenace, inimitié. Urwânko rwa nábukwé numukazâna rwărabâye akaramanda, la haine entre la belle-mère et sa bru est devenue tnvétérée,"
Nsumírinda,Bānsúmirinda,lala,surnom de l'égoiste,n.,P63-C1,"Nsumírinda, Bānsúmirinda, lala, (-sumapprovisionner, -da 9 ventre) surnom de l'égoiste. Syn. Ndirikirikēsha."
ubuzibànda,-zib-,9,"se fermer, ventre",n.,P63-C1,"ubuzibànda, 14, (-zib- se fermer, -da 9 ventre), cadet, benjamin,"
uruda,,11,"panse, gros bedon",n.,P63-C1,"uruda, (pop.), 11, (cfr -da 9) panse, gros bedon, bedaine,"
indá,,910,pou. Prov,n.,P63-C2,"indá, 910, pou. Prov, 528, 3278."
kudaba,-vye,,troubler,v.,P63-C2,"kudaba, -vye, troubler. Syn. kuvuruga, Kudaba inzėga, pionger la main dans la bière. || Kudaba ijambo, couper la parole à, interrompre le discours de."
kudâba,-dâvye,,"être incohérent (discours), être embrouillé",v.,P63-C2,"kudâba, -dâvye, être incohérent (discours), ĉtre embrouillé, Syn. dádika."
kudâbadāba,-dâbadāvye,,avancer d'un pas peu assuré,v.,P63-C2,"kudâbadāba, -dâbadāvye, (cfr -dâb-), avancer d'un pas peu assuré (bambin), marcher d'un pas vacillant,"
indabaga,,9|10,"réficule, sac en raphia, porté à l'épaule",n.,P63-C2,"indabaga, 9(10, réficule, sac en raphia, porté à lépaule."
kudâbaganya,nije,,"mélanger tous les sujets, parler à bâtons rompus",v.,P63-C2,"kudâbaganya, nije, (cfr -dâb-), mélanger tous les sujets, parler à bâtons rompus. Raconter des blagues. Syn. guswââganya."
kudâbagira,-ye,,dire des paroles dóplaisantes,v.,P63-C2,"kudâbagira, -ye, (cfr -dâb-), dire des paroles dóplaisantes. Syn. kudabwa. || Patauger dans la boue."
kwîidābaguza,-je,,"être indécis, choisir, faire son choix",v.,P63-C2,"kwîidābaguza, -je, être indécis, choisir, faire son choix, Syn. kwîdoraguza."
kudábanga,-nze,,embrouiller,v.,P63-C2,"kudábanga, -nze, (cfr -dab-), embrouiller. Syn. kuvângavanga."
kudábanganya,-nije,,"emmêler, entortiller",v.,P63-C2,"kudábanganya, -nije, (cfr -dábang-), emmêler, entortiller. || Baragouiner; débiter, avoir la langue bien pendue, être prolixe, intarissable."
indábanganyi,-,9|10,beau parleur,n.,P63-C2,"indábanganyi, 9|10, (cfr -dábangany-), beau parleur."
umudábanganyo,imi-,34,embrouillamini,n.,P63-C2,"umudábanganyo, imi-, 34, (cfr -dábangany-), embrouillamini, galimatias,"
indábango,-,9110,confusion dans le le langage : bafouillage,n.,P63-C2,"indábango, 9110; (cfr -dábang-y, confusion dans le le langage : bafouillage."
kudábangura,-ye,,troubler un Syn. kuvuruga,v.,P63-C2,"kudábangura, -ye, (cfr -dábang-), troubler un Syn. kuvuruga."
indábe,-râbe,,râbe,v.,P63-C2,"indábe, v. -râbe."
kudddabika,-tse,,"plonger dans ledn, la boue",v.,P63-C2,"kudddabika, -tse, (cfr -dab-), plonger dans ledn, la boue."
indābo,-rābo,,rābo,v.,P63-C2,"indābo, v. -rābo."
kudâbūra,-ye,,aggraver,v.,P63-C2,"kudâbūra, -ye, (cfr -dâb-), aggraver. Syn. kwunyara. Arabídabūye, i aggrave la situation,"
kudábwa,-bwe,,dire des balivernes,v.,P63-C2,"kudábwa, -bwe, (cfr -dab-), dire des balivernes. Var. kudebwa, Emwe ndadábwe! tiens, c'est vrai, je raconte des balivernes; c'est fot qui as raison."
ikidábwe,ibi,7|8,"phraseur, vyerbeux, qui fait du blabla, celui ou celle qui dit des balivernes",n.,P63-C2,"ikidábwe, ibi, 7|8, (cfr -dábw-), phraseur, vyerbeux, qui fait du blabla, celui ou celle qui dit des balivernes."
urudaca,v.,,v.,v.,P63-C2,"urudaca, v. -ca."
akadāda,utu-,,opiniâtreté; méchanceté; férocité,n.,P63-C2,"akadāda, utu-, (cfr -dādan-), opiniâtreté; méchanceté; férocité. Syn. ubukázi, Ahûráho, reka ako kadada  kawe, au contraire, ne sois pâs entêté, ne reste pas attaché à tes idées,"
kudáda,-ze,,"serrer un lien, lier fortement, entraver, attacher.",v.,P63-C2,"kudáda, -ze, serrer un lien, lier fortement, entraver, attacher. Syn. kubóha."
kudádagira,-ye,,"figerurer, lier soigneusement, garrotter en entourant de liens.",v.,P63-C2,"kudádagira, -ye, (cfr -dâd-), figeaturer, lier soigneusement, garrotter en entourant de liens. Syn. kuzîngagira."
kudádama,mye,,"marcher la tête levée, garder le torse droit; faire front.",v.,P63-C2,"kudádama, mye, marcher la tête levée, garder le torse droit; faire front. Fig. oser, essayer, expérimenter, faire l'expérience de. V. -rárama."
kudádamanga,-ze,,marcher toujours le corps droit.,v.,P64-C1,"kudádamanga, -ze, (cfr -dádam-), marcher toujours le corps droit. || Néol. rouler à fond de train; «se remettre à lVhorizontale» (véhicule qui a gravi une côte et retrouve le terrain plat)."
kwidadamura,-ye,,"parler orgueilleusemeni, avec emphase.",v.,P64-C1,"kwidadamura, -ye, (cfr -dádam-), parler orgueilleusemeni, avec emphase. ,"
kudādana,-nye,9l,empirer,v.,P64-C1,"kudādana, -nye, (cfr -daādāne 9l), empirer, genvenimer (discussion)."
indădāne,,910,"discussion, chicane.",n.,P64-C1,"indădāne, 910, (cfr -dadan-), discussion, chicane."
