WORD,diff_status,WORD_OLD,WORD_NEW,DESCRIPTION_OLD,DESCRIPTION_NEW,POS_OLD,POS_NEW,AFFIX_OLD,AFFIX_NEW,NOUN_CLASS_OLD,NOUN_CLASS_NEW
6589,CHANGED,,Abatáhwaná,,mauvaise famille hutu.,,N,,,,2
6590,CHANGED,,gubwâna,,"se rencontrer, être au même point.",,verb,,-nye,,
6591,CHANGED,,amahwăne,,"carrefour. Amahwăne y'inzira, la croisée des chemins.",,n,,,,6
6632,CHANGED,,mahwerá,,,,,,,,
6633,CHANGED,,umutáhwerá,,Les feuilles de cet arbuste servent de remède aux douleurs intercostales.,,,,imi-,,3l4
6634,CHANGED,,guhwêra,,"mourir, expirer, périr",,nom,,-reye,,
6635,CHANGED,,umuhwêrá,,malade,,n,,aba-,,1|2
6729,CHANGED,,kwîyica,,se tuer; se suicider,,I,,-she,,
6730,CHANGED,,akicabútobágire,,"douteux; v. -tóbagir-, qui tue en perçant de plusieurs coups, genre de petit putois.",,n,,utw-,,12|13
6731,CHANGED,,kwîcana,,s'entre-tuer. Se battre.,,,,-nye,,
6732,CHANGED,,umwîicanyi,,homicide; assassin; meurtrier; criminel.,,n.,,ab-,,
6733,CHANGED,,ubwîcanyi,,"meurtre, homicide, assassinat.",,n.,,,,
6734,CHANGED,,kwicara,,s'asseoir.,,v.,,-ye,,
6735,CHANGED,,kwicarana,,s'asseoir ensemble.,,v.,,-nye,,
6748,CHANGED,,kwîcisha,,faire tuer,,v.,,-shije,,
6749,CHANGED,,kwîyicīsha,,provoquer sa propre mort,,v.,,-shije,,
6750,CHANGED,,kwîcwa,,être tué,,v.,,-tshwe,,
6751,CHANGED,,umwïga,,"novice, apprenti",,n.,,-g,,
6856,CHANGED,,inzímwe,,sécrétion vaginale d'une vache en chaleur.,,,,,,10
6857,CHANGED,,kwîmya,,"saillir (taureau), monter (mâle).",,,,-mije,,
6858,CHANGED,,inà-,,affixe servant à former des teknonymes.,,,,inà-,,
6859,CHANGED,,kwìna,,meitre en contact avec un liquide.,,,,-nnye,,
6864,CHANGED,,inámukanje,,,,v.,,-mukanje,,
6880,CHANGED,,kwinirwa,,recevoir un lavement,,v.,,-iniwe,,
6881,CHANGED,,inyínjirá,,quotient,,n.,,,,9|10
6882,CHANGED,,kwînjira,,entrer,,v.,,-ye,,
6883,CHANGED,,kwînjirana,,entrer avec,,v.,,-nye,,
6884,CHANGED,,kwînjiranira,,"entrer Pun chez lautre. Musâza na múshiki barînjiranira, frère et sæur vont souvent se rendre visite.",,,,-ye,,
6885,CHANGED,,kwînjirira,,entrer chez qan,,applicatif,,-ye,,
6886,CHANGED,,umwïnjirira,,individu (pauvre),,n,,,,1|2
6887,CHANGED,,ubwïnjirire,,"éruption cutannée, maladie éruptive des bébés (croûte de lait ?).",,n,,,,14
6904,CHANGED,,umunyabwira,,,,n.,,aba-,,1|2
6905,CHANGED,,inshirabwira,,"mettre, zèle",,adj.,,,,9j10
6906,CHANGED,,inshirukabwira,,"mettre le maximum, zèle",,adj.,,,,9(10
6907,CHANGED,,kwîra,,se faire tard; faire nuit,,v.,,-îje,,
6925,CHANGED,,kwîrirwâáho,,passer la journée en vie (malade),,,,-îriwėho,,
6927,CHANGED,,mwiriwe,,Îrirwa.,,,,,,
6984,CHANGED,,icitso,,résumé (pour confirmer les dires de),,,,,,
6985,CHANGED,,itu,,interjection de dénégation,,interjection,,,,
6986,CHANGED,,kwîtwa,,"être appelé, recevoir un nom. S'appeler.",,,,-îswe,,
6987,CHANGED,,-izá,,V. - Zâ,,V.,,,,
6992,CHANGED,,kwlyiziguruka,,,,,,,,
6993,CHANGED,,kwîzwa,,"recevoir un enseignement, être instruit dans tel art.",,,,-îgijwe,,
6994,CHANGED,,umuja,,"servant, servante, domestique. Esclave.",,noun,,aba-,,1|2
7020,CHANGED,,kujabuka,,passer (un gué),,passer,,-tse,,
7021,CHANGED,,injábukīrá,,étranger. Syn. umunyámahănga.,,,,,,9l10
7022,CHANGED,,ijabukiro,,gué,,,,ama-,,5j6
7036,CHANGED,,kwîjajara,,,,n.,,-ye,,
7037,CHANGED,,impfānajambo,,,,n.,,,,9|10
7038,CHANGED,,impfāanamajambo,,,,n.,,,,
7039,CHANGED,,akajambo,,petit mot,,n.,,utu-,,
7048,CHANGED,,kujāna,,accompagner. conduire. acheminer. aller ensemble.,,v.,,-nnye,,
7049,CHANGED,,kwîjāna,,"aller soi-même, sans vacher, à labreuvoir (bétail).",,v.,,-nnye,,
7050,CHANGED,,kujânda,,"être à l'aise, respirer le calme, avoir le visage serein.",,v.,,,,
7051,CHANGED,,kujândagira,,avoir un heureu caractère.,,v.,,-ye,,
7084,CHANGED,,akajàri,,friponnerie,,n.,,,,12
7085,CHANGED,,kujárira,,jouer un tour,,v.,,-ye,,
7086,CHANGED,,amajâruguru,,ruguru,,v.,,,,
7087,CHANGED,,je,,onomatopée exprimant le bruit d'un liquide coulant goutte à goutte: ploc!,,interj.,,(inv.),,
7100,CHANGED,,akajěje,,bracelet en cuivre.,,,,,,12|13
7101,CHANGED,,akajěje,,petite bandelotte,,,,,,12
7103,CHANGED,,kujémura,,"entamer avec un outil. Ikimănyu c'igisîindé băjemuye, une motte de terre coupée à la houe.",,n,,-ye,,
7176,CHANGED,,kujîsha,,tresser le jonc,,v.,,-she,,
7177,CHANGED,,akajîishano,,petite tresse faite d'herbes et servant de bracelet aux enfants,,n.,,utu-,,12|13
7178,CHANGED,,umujîshi,,"lien, corde tressée",,n.,,imi-,,3j4
7179,CHANGED,,ijîshiro,,endroit où on tresse,,n.,,ama-,,
7192,CHANGED,,kujōba,,"être mouillé, trempé. || être bafoué.",,,,-vye,,
7194,CHANGED,,kujógonyora,,déboucher sa pipe. Nettoyer la pipe (enlever le bujiji).,,v,,-ye,,
7195,CHANGED,,kujógora,,laisser se détériorer,,verb,,-ye,,
7244,CHANGED,,igikurājoro,,"(-kúr- grandir, -joro 5 nuit), agave, sisal.",,,,ibi-,,718
7245,CHANGED,,insimbajoro,,grande enjambée,,,,-simb- / -joro 5 nuit,,910
7247,CHANGED,,kujúgira,,"être indécis, manquer d'assurance.",,,,-ye,,
7262,CHANGED,,kujúmararirwa,,"être pétrifié, hébété. Syn. kwûmirwa.",,,,-we,,
7263,CHANGED,,akajúmararo,,ahurissement,,,,,,12
7272,CHANGED,,ikijumpu,,patate douce,,,,ibi-,,718
7273,CHANGED,,kujunja,,"être désæœuvré, immobile, perdu dans ses pensées. || Etre inutile.",,Noun,,-je,,5
7274,CHANGED,,kujunjama,,être désemparé; rester cloué au sol (fig.).,,,,-mye,,
7456,CHANGED,,kanátsinda,,,,v.,,-tsinda,,
7457,CHANGED,,ikanda,,"prendre la terre, la boue sur laquelle une personne a mis le pied pour sen servir comme médium et lui jeter un maléfice; faire de la magie noire avec ce prélèvement",,v.,,ama-,,56
7458,CHANGED,,gukanda,,"appuyer sur, presser, frictionner, masser",,v.,,-nze,,
7459,CHANGED,,umukânda,,pomme-cannelle sauvage,,n.,,imi-,,
7484,CHANGED,,inkânga,,pintade,,,,,,910
7485,CHANGED,,gukânga,,"effrayer, mettre la panique",,verb,,-ze,,
7486,CHANGED,,kwîkanga,,"s'effrayer; s'inquiéter. Kwîkanga nyaringa, s'illusionner. Kwîkanga ubùsa, étre scrupuleux.",,v,,-ze,,1110
7496,CHANGED,,amakangāta,,"nervosité, agitation fébrile. Ardeur.",,,,,,6
7497,CHANGED,,gukângāta,,"faire vite, bâcler. Syn. gufangura, gukângaza.",,,,-se,,
7499,CHANGED,,inkângo,,arbuste non déterminé.,,,,,,9|10
7508,CHANGED,,amîkangurá,,"en loc. mu mîkangurá, au réveil. Syn. amîkoma,",,n,,,,6
7509,CHANGED,,gukângwa,,"être effrayé, terrorisé",,,,-kânzwe,,
7510,CHANGED,,intábakângwa,,remède prorecteur.,,,,,,9|10
7511,CHANGED,,ubukăngwe,,"(cfr -kângw-), épouvante, affres.",,,,,,14
7576,CHANGED,,-kara,,noir,,,,,,
7577,CHANGED,,umukara,,quadrupède du genre belette,,n.,,imi-,,34
7578,CHANGED,,igikara,,petit félin,,n.,,ibi-,,78
7579,CHANGED,,urukara,,noir,,n.,,,,11
7580,CHANGED,,agakara,,belette,,,,ubu-,,12|14
7582,CHANGED,,inkáraba,,-raba.,,,,-raba,,
7583,CHANGED,,ubukarábe,,v. -rábe.,,,,,,
7616,CHANGED,,umunyágikaráza,,"poitrinaire, tuberculeux, phtisique",,,,aba-,,1|2
7617,CHANGED,,umukardinăli,,cardinal,,,,aba-,,112
7618,CHANGED,,kare,,"de bonne heure, tôt. Précédemment.",,adverb,,-inv,,
7619,CHANGED,,ikare,,"terme noble, cour intérieure, gynécée, intérieur du palais.",,subst. inv.,,,,9|10
7652,CHANGED,,gukata,,couper,,v.,,-se,,
7653,CHANGED,,umukāta,,tjs en C,,n.,,imi-,,344
7654,CHANGED,,gukāta,,avoir un goût aigre.,,,,-se,,
7655,CHANGED,,gukātagiza,,frapper du pied en marchant,,v.,,-je,,
7660,CHANGED,,igikatikati,,une natte faite d'écorces de bananiers,,n.,,ibi-,,"7(8, tjs en C)"
7661,CHANGED,,ikatikîsímu,,catéchisme,,n.,,,,
7662,CHANGED,,gukátira,,jointoyer,,v.,,-ye,,
7663,CHANGED,,umukatsi,,"personne méprisante, dédaigneuse",,n.,,aba-,,12
7668,CHANGED,,gukātura,,agir rapidement; marcher très vite.,,v.,,-ye,,
7669,CHANGED,,gukātūra,,enlever un bracelet.,,v.,,-ye,,
7670,CHANGED,,umukătwa,,"jarre, cruche.",,n.,,imi-,,314
7671,CHANGED,,gukávya,,forcer ses preuves.,,v.,,-bije,,
7676,CHANGED,,Rukáyambo,,,,n.,,la,,11
7677,CHANGED,,umukāza,,Lycaon pictus lupinus,,n.,,imi-,,3l4
7678,CHANGED,,gukáza,,"stimuler; activer. |i Exagérer. Gukáza umuhindo, amplifier une nouvelle. Gukáza amaràra, aimer exagérément la viande. Gukáza amashwăshwa, blaguer beaucoup. Gukáza urwâsâya, crier très haut, avoir une voix aiguë qui porte loin. Gukáza urwâmo, vociférer. Gukáza amēru, avoir grande envie de. Gukáza indôto, prévoir en songe, avoir un songe prémonitoire, prédire lavenir par les songes. Gukáza itíro, être un couche-tôt. Prov. 417.",,v.,,-jije,,
7679,CHANGED,,kwîkaza,,se rengorger. Syn. kwîvyimbisha. Prov. 577.,,v.,,-jije,,
7752,CHANGED,,-kěcuru,,"comme une vieille femme; mollement, sans énergie. Indero nkěcuru, mauvaise éducation.",,,,,,
7753,CHANGED,,umukěcuru,,vieille femme,,vieille femme,,aba-,,1|2
7754,CHANGED,,agasâmbabákěcuru,,petit insecte noir.,,,,"-sâmb-, -kěcuru 2",,12J13
7755,CHANGED,,igikěcuru,,"dans ce cas, le préfixe -ki- se veut toujours méprisant, une très vieille femme. Fig. un caractère mou, sans énergie.",,,,ibi-,,718
7812,CHANGED,,gukena,,"être pauvre, besogneux, indigent",,n.,,-nnye,,
7813,CHANGED,,inkende,,Cercopithèque; Blue velvet,,n.,,,,
7814,CHANGED,,ubukėne,,"pauvreté, pénurie, indigence",,n.,,,,14
7815,CHANGED,,gukéneka,,agir en pauvre: filtrer un mélange deau et de cendres pour obtenir un ersatz de sel,,v.,,-tse,,
7880,CHANGED,,igikėnye,,"patte coupée d'une bête abattue, etc., cuisseau",,n.,,ibi-,,718
7881,CHANGED,,nyenígikėnye,,"celui qui a la force, le plus fort",,n.,,la,,
7882,CHANGED,,gukényera,,"fixer son pagne autour des reins, se ceindre",,v.,,-ye,,
7883,CHANGED,,gukényerera,,se mettre sérieusement à un travail,,v.,,-ye,,
7900,CHANGED,,gukêra,,"être serein (temps), être sans nuages (ciel).",,v.,,-ye,,
7901,CHANGED,,umukêrá,,lumière du jour.,,n.,,imi-,,34
7902,CHANGED,,kěra,,"primitivement; jadis, antan; autrefois.",,adv.,,,,
7903,CHANGED,,keragukeragu,,onomatopée exprimant le bruit dune serpette coupant lhberbe.,,interj.,,,,
7908,CHANGED,,igikėre,,crapaud : Bufo regularis; grenouille.,,n.,,ibi-,,718
7909,CHANGED,,umukěre,,"mûûrier, ronce.",,n.,,imi-,,3l4
7910,CHANGED,,inkěre,,"mmûre, fruit du précédent.",,n.,,,,9l10
7911,CHANGED,,Nyakěre,,nom donné au postulant dans la secte des bishegu.,,n.,,bānyákěre,,
7916,CHANGED,,gukerega,,"frapper du pied, trépigner, avoir une crise de nerfs.",,v.,,-ze,,
7917,CHANGED,,gukeregera,,"(cfr -kereg-), piétiner.",,v.,,-ye,,
7918,CHANGED,,inkerégerwa,,"bras droit du chef, lieutenant.",,,,,,9|10
7919,CHANGED,,umukerego,,"(cfr -kereg-), ficelle. Corde. || Danse. Syn. umwîyereko. || Néol. imikerego, gymnastique.",,n.,,imi-,,3l4
7973,CHANGED,,nyabáki,,,,,,,,
7975,CHANGED,,igikíga,,"tjs en C, roc. Ikibuye c'urukíga, un grand rocher.",,,,ibi-,,7|8
7992,CHANGED,,kwîkīkiriza,,longer,,v.,,-je,,
7993,CHANGED,,urukîko,,jugement,,noun,,,,1t
7994,CHANGED,,gukîkūra,,rôder autour,,Cerner,,-ye,,
7995,CHANGED,,inkîkūro,,"contour, périmètre.",,n,,,,9|10
7997,CHANGED,,kilomētéro,,-mētéro,,,,-mētéro,,
7998,CHANGED,,inkíma,,"objet réservé au lait et que lusage a rendu poli, brillant, onctueux au toucher; écuelle.",,,,,,9l|10
7999,CHANGED,,isárankíma,,"(sar- être fou de rage), espèce de serpent non identifié.",,n,,ama-,,9iló
8024,CHANGED,,ikinyankinda,,grosse charge de sorgho ou éleusine ficelée dans des feuilles de bananiers ou des herbes.,,n.,,,,
8025,CHANGED,,gukindāga,,ironiser.,,v.,,-ze,,
8026,CHANGED,,gukindagira,,trépigner.,,v.,,-ye,,
8027,CHANGED,,nyenínkíndi,,"paré d'une peau de léopard, danseur, guerrier en costume de guerre.",,n.,,,,
8028,CHANGED,,sênkíndi,,,,n.,,,,
8029,CHANGED,,gukindira,,danser,,v.,,-ye,,
8030,CHANGED,,umukîndo,,natte en fibres de palmier élais,,n.,,imi-,,34
8031,CHANGED,,urukîndo,,fibre du palmier élais,,n.,,in-,,1110
8048,CHANGED,,gukingīra,,empêcher de voir; obscurcir,,v.,,-riye,,
8049,CHANGED,,kwîkingīra,,fermer les yeux pour ne pas voir,,v.,,-riye,,
8050,CHANGED,,gukingiriza,,"fermer, barrer au moven de. S'abriter grâce à, - kwîkingiriza, -je, (cfr -kingiriz-), se protéger au moyen de, Sabriter derrière qach. ou qqn.",,v.,,-je,,
8051,CHANGED,,inkingirizi,,"cloison. Paravent. Syn. umukingo, urusîkáâ.",,n.,,,,910
8104,CHANGED,,kirigikirigì,,onomatopée exprimant le bruit ďune poule marchant sur une peau séchée.,,n.,,", -",,
8105,CHANGED,,kwîkirigita,,"bondir (de joie), se remuer, s'agiter.",,v.,,-se,,
8106,CHANGED,,ubukírigitwi,,chatouillement.,,n.,,,,14
8107,CHANGED,,gukírimba,,trépigner.,,v.,,-mvye,,
8124,CHANGED,,gukîyakīiya,,,,v.,,-ye,,
8125,CHANGED,,kó,,,,conj.,,,,
8126,CHANGED,,hākó,,,,conj.,,,,
8127,CHANGED,,kukó,,,,conj.,,,,
8164,CHANGED,,agakbwa,,fillette,,,,udu-,,
8165,CHANGED,,nyabúkcbwa,,"baguette magique; poupée, bâtonnet orné de perles et dont la tête est une calebasse garnie de petits cailloux.",,,,,,9a
8166,CHANGED,,nyànkcbwa,,"enfant naturel, non légitimé, enfant dune femme pour laquelle on n’a pas versé de gages matrimoniaux.",,,,-kúr-,,9l10
8167,CHANGED,,nkurìnkôbwa,,recevoir les gages matrimoniaux,,v,,-kôbw-,,9al10a
8180,CHANGED,,gukócora,,faire craquer,,v.,,-ye,,
8181,CHANGED,,gukodēsha,,louer,,v.,,-sheje,,
8182,CHANGED,,inkōfēro,,chapeau,,n.,,,,9|10
8183,CHANGED,,agakōōfëro,,bonnet,,n.,,udu-,,12|13
8184,CHANGED,,igikogoshi,,ver blane,,n.,,,,
8185,CHANGED,,umukoke,,"ravine, fossé d'écoulement des eaux de pluie.",,,,imi-,,
8186,CHANGED,,gukōkera,,attacher des grelots aux colliers des chiens.,,Trotter,,-ye,,i
8187,CHANGED,,inkōkero,,"pas gymnastique, pas de course, pas cadencé.",,,,,,9|10
8192,CHANGED,,kokó,,"en effet, c'est ainsi. Kokó n'îvyukuri, en effet, cest la vérité pure.",,,,,,
8193,CHANGED,,inkoóko,,"gallinacée, poule; coq.",,"être trempé par la pluie. || Mu-nkòko yā mbere, au premier chant du coq. Kugera inkòkko, être matinal.",,,,9|10
8194,CHANGED,,agasámànkóko,,espèce d'oiseau non identifié,,,,udu-,,12113
8195,CHANGED,,akăsamyànkóko,,"ouvrir la bouche, poule",,v,,-âsam-,,12
8196,CHANGED,,sankóko,,9 poule,,n.,,"sa ressembler, -kóòko",,
8197,CHANGED,,urukóko,,"croûte, gratin",,n.,,,,11
8198,CHANGED,,agakóko,,"poulette. reliefs de nourriture collés aux parois du pot, gratin",,n.,,udu-,,12113
8199,CHANGED,,igikôkó,,"bête sauvage, animal",,n.,,ibi-,,78
8212,CHANGED,,ikôkōōra,,"émondage, émondement, taille, Syn. itûtūra.",,,,,,5
8213,CHANGED,,gukôkōra,,"ébrancher, élaguer un arbre; émonder, tailler.",,,,-ye,,
8215,CHANGED,,umukōma,,"chien maigre, affaibli",,,,,,3j4
8232,CHANGED,,igikómàndûrú,,v.,,v,,-rûrú,,
8234,CHANGED,,gukomantara,,être solide; être bien portant.,,,,-ye,,
8235,CHANGED,,gukómanya,,"entrechogquer; rapprocher. claguer des dents. claquer des doigts (dL'énervement, par colère). źfttuber de faiblesse.",,verb,,-nije,,
8296,CHANGED,,gukómorora,,"labourer un sol dont on vient enlever les cultures (haricots, maïs)",,,,-ye,,
8298,CHANGED,,gukômvōra,,tout rafler,,,,-ye,,
8299,CHANGED,,inkomvorera,,Sécrétions lacrymales.,,,,,,9|10
8316,CHANGED,,umukěndo,,nomril,,noun,,imi-,,34
8317,CHANGED,,ikirásamukndo,,"espèce de grosse chenille verte, souvent sur les feuilles d'oranger; quand on la touche elle sort deux cornes rouges, et répand une odeur forte.",,"Pétiole, Poignée, anse",,"ibi-, -rás-, -kcndo",,718
8318,CHANGED,,inkndogoro,,tabatière faite de Vextrémité d'une corne.,,,,,,9|10
8319,CHANGED,,inkondogōsho,,"émondoir. Umuhoro wubukera bw'inkondogosho, une serpette sans manche fixée au bout une perche pour atteindre le sommet des bananiers. Syn ingombōzo. (Un seul informateur).",,,,,,9|10
8320,CHANGED,,gukôndōka,,"se détacher de la tige (maïs, courge)",,v.,,-tse,,
8321,CHANGED,,umukondokondo,,"détacher de la tige (maïs, courge)",,n.,,imi-,,3l4
8322,CHANGED,,umukondōrazosi,,,,v.,,V-,,
8323,CHANGED,,inkondōrera,,bétail à cornes flottantes,,n.,,,,9|10
8356,CHANGED,,umukōngwa,,feu,,n.,,,,
8357,CHANGED,,inábakngwa,,sakâre,,v.,,v.-,,
8358,CHANGED,,umukoni,,Sinaderia sp. Synadenium umbellatum Pax,,n.,,imi-,,344
8359,CHANGED,,inkoni,,bâton,,n.,,,,910
8368,CHANGED,,gukonjēsha,,faire refroidir,,v.,,-sheje,,
8369,CHANGED,,gukonjēshwa,,"être transi de froid, être refroidi par",,v.,,-shejwe,,
8370,CHANGED,,Bikōnjo,,"surnom du flemmara (pop.), bras ballants",,n.,,,,9110
8371,CHANGED,,gukônka,,racler la peau dune banane avec les dents,,v.,,-kônse,,
8388,CHANGED,,Rugōrikonya,,"être difficile, 5 à plier",,n.,,-(gōr-),,
8389,CHANGED,,gukónyagura,,briser en pliant à plusieurs reprises,,v.,,-ye,,
8390,CHANGED,,gukónyagurika,,se briser,,v.,,-tse,,
8391,CHANGED,,gukonyakonya,,replier,,v.,,-nye,,
8400,CHANGED,,igikónyozi,,"grand froid, froid pénétrant et humide. Imbého désigne un froid sec. Ânt. ubushŭhe.",,n.,,,,
8401,CHANGED,,inkónyozi,,"édème de carence, maladie du sevrage, kwashiorkor.",,n.,,,,
8402,CHANGED,,gukonywa,,"avoir mal aux articulations; être affaibli, épuisé.",,v.,,-nywe,,
8403,CHANGED,,gukonywàkonywa,,être replié; être courbaturé.,,v.,,-nywe,,
8408,CHANGED,,gukóra,,"travailler; s'occuper. Commettre, faire. Icó bikozé, mūzé tugendé kurondera Kiranga mu-ntârá ya Nkóre, ceci fait, venez, allons chercher Kiranga dans la région de Nkore. || Opérer. Pratiquer. Abăkora igikórwa c'ukujîsha bări abagòre mabigeme, celles qui avaient lhabitude de faire de la vannerie, c'étaient les femmes et les filles. || Servir. Accomplir. Muzōkora icó azōbabwîÎra cōse?, ferez-vous tout ce qwil vous dira? || Manipuler. Toucher. Nihó yahágarara i Nkóre, akora Ruhaga mu ruhănga, car il s'est planté ferme à Nkore et a touché Ruhaga au front. Loc. Gukóra ku mutwé, raser. Gukóra mw-irûgu, tuer. Gukóra ku munwa, manger très peu. Gukóra kw-itáma, se moquer. Gukóra mu ruvuto, tirer à larc. Prendre. Ntiyīibá akora mu c'est un fieffé voleur. || Faire tousser (ce qu'on avale de travers). Prov. 176, 284, 302, 633, 682, 698, 961, 1138, 1172, 1174, 1605, 1626, 1649, 1923-1924, 17371740, 2157, 2170, (-kó 1605, 1626).",,v.,,-ze,,
8409,CHANGED,,kwikora,,"se toucher. Kwîikora mu kwâha, donner à manger à un malheureux. Kwîkora mu-nda, tuer accidentellement son propre enfant. Kwîkora mu kanwa, éructer des injures. Ntiyagíra icó yīkórakó na gítyí, il était dans le plus complet dénuement.",,v.,,-ze,,
8410,CHANGED,,Sêrwakorá,,"personnage légendaire, vacher de Ryangombe.",,n.,,,,
8411,CHANGED,,inkórabára,,,,v.,,-bára,,
8412,CHANGED,,inkórabúsg,,,,n.,,-kónyagur-,,
8413,CHANGED,,inkóragáfūni,,,,v.,,-funi,,
8414,CHANGED,,gukoragura,,faire tomber en abondance,,v.,,-ye,,
8415,CHANGED,,gukoragurika,,tomber en abondance et constamment,,v.,,-tse,,
8436,CHANGED,,gukôrānura,,réclamer les gages matrimoniaux,,v.,,-ye,,
8437,CHANGED,,gukôrānuza,,envoyer redemander la contre-valeur de mariage,,v.,,-je,,
8438,CHANGED,,inkoránwa,,un habit de travail,,n.,,,,9|10
8439,CHANGED,,gukóranya,,"réunir, assembler, attrouper; mettre en groupe",,v.,,-nije,,
8452,CHANGED,,inkórerezi,,"provocation, excitant",,n.,,,,9|10
8453,CHANGED,,gukórerwa,,"être exécuté (travail), être fait",,v.,,-kórewe,,
8454,CHANGED,,gukórēsha,,employer qan à son service. Faire travailler. Se servir de. Faire faire gach,,v.,,-sheje,,
8455,CHANGED,,kwîkorēsha,,se servir de,,v.,,-sheje,,
8500,CHANGED,,igikórorwá,,achat,,n.,,ibi-,,
8501,CHANGED,,gukorotana,,battre; quereller,,v.,,-nye,,
8502,CHANGED,,gukorotanira,,disputer au sujet de,,n.,,-ye,,
8503,CHANGED,,inkorōtanyi,,"agressif, combattif, discutailleur, querelleur",,,,,,9|10
8532,CHANGED,,gukôvōra,,enlever tout; consumer par le feu.,,,,-ye,,
8533,CHANGED,,ubukòóyo,,échine,,,,,,14
8534,CHANGED,,gukôyra,,"débrousser, défricher",,,,-ye,,9
8535,CHANGED,,inkōyōyo,,déblaiement; décimation,,,,,,
8536,CHANGED,,gukza,,Ronger des os,,v.,,-jeje,,
8537,CHANGED,,gukóza,,manger avec condiments,,v.,,-kójeje,,
8538,CHANGED,,kwikoza,,se toucher au moyen de,,v.,,-jeje,,
8539,CHANGED,,umukōzano,,potier n'appartenant pas à la race des pygmées,,n.,,aba-,,
8544,CHANGED,,ubukózi,,condiment ajouté au plat de résistance,,n.,,,,
8545,CHANGED,,ubúku,,profond soupir; cri aigu,,n.,,,,
8546,CHANGED,,ikinyábûku,,Homme très noir et dont le front est proéminent,,n.,,ibi-,,748
8547,CHANGED,,gukūba,,"gratter, arracher",,v.,,-vye,,
8584,CHANGED,,gukūbēba,,faire vite. Emporter en hâte.,,,,-vye,,9
8585,CHANGED,,inkăbēba,,-kúbēbe,,v,,-kúbēbe,,
8586,CHANGED,,inkûbēbe,,"en loc. kugenda inkúbēbe, partir à limproviste, lever le pied.",,,,,,9l10
8600,CHANGED,,inkúbisi,,celui qui frappe,,n.,,,,
8601,CHANGED,,gukúbita,,"frapper, porter un coup",,v.,,-se,,
8602,CHANGED,,gukúbitagura,,frapper à coups redoublés,,v.,,-ye,,
8603,CHANGED,,gukúbitira,,frapper,,v.,,-ye,,
8608,CHANGED,,gukýbitwa,,être frappés,,v.,,-iswe,,
8609,CHANGED,,inkūbo,,"racloir, instrument du boisselier",,n.,,(cfr -kūb-),,9|10
8610,CHANGED,,ubukūbo,,fibres,,n.,,(cfr -kūb-),,14
8611,CHANGED,,umukúbo,,"cercle, anneau",,n.,,imi-,,34
8636,CHANGED,,amakûka,,"moment où le bétail revient de lUabreuvoir, vers quatorze heures.",,n,,,,6
8637,CHANGED,,gukûka,,sortir de Veau,,,,-tse,,9110
8638,CHANGED,,urukûká,,Hygrophila homblei DE Wad. — On en fait un remède guon mélange avec d’autres produits pour faire entrer les abeilles dans la ruche. V. -yúki 11.,,n,,in-,,11|12
8640,CHANGED,,inkăke,,front proéminent,,adj.,,,,9|10
8641,CHANGED,,kukí,,,,v.,,kkí-,,
8642,CHANGED,,gukúkira,,ramasser de la bouse,,v.,,-ye,,
8643,CHANGED,,gukûkira,,être sujet de,,v.,,-ye,,
8644,CHANGED,,ukwîkūkira,,indépendance,,,,,,15
8645,CHANGED,,kwikūkira,,"être indépendant, jouir de autonomie politique.",,,,-ye,,
8646,CHANGED,,gukûûkīra,,gravir péniblement,,,,-riye,,
8664,CHANGED,,gukúma,,rassembler,,v.,,-mye,,
8665,CHANGED,,gukumbagaza,,faire s'affaisser; préparer de la pâte qui ne lève pas,,v.,,-je,,
8666,CHANGED,,kwîkumbagaza,,se prosterner,,v.,,-je,,
8667,CHANGED,,umukŭmbagaza,,savane,,n.,,,,3l4
8708,CHANGED,,inkcndanye,,feuille que la fenme offre à son mari pour qwil se nettoie les mains avant de prendre son repas.,,,,,,
8709,CHANGED,,umukêndanyi,,"charitable, affable, affectueux; serviable; généreux.",,,,aba-,,1|2
8710,CHANGED,,ubukûndanyi,,"amour, charité; affabilité; serviabilité; générosité.",,,,,,14
8720,CHANGED,,inkûndyé,,pigeon. Syn.,,,,,,9|10
8722,CHANGED,,ubukunga,,petites calebasses,,,,,,14
8723,CHANGED,,gukunga,,écarter et faire attendre qui est pressé.,,i,,-nze,,
8756,CHANGED,,igikôngūtwá,,"paille, balle, son",,n.,,,,
8757,CHANGED,,umukunguza,,essence forestière,,n.,,imi-,,3l4
8758,CHANGED,,gukunguza,,manquer de respect. Se montrer indélicat.,,v.,,-je,,
8759,CHANGED,,inkunguzi,,"tjs en C ou C, éhontée, sans pudeur, sans retenue. une vieille fenme indélicate",,n.,,,,910
8776,CHANGED,,ntôrerànkûnzi,,"choisir en faveur de, ami",,partial,,"-tôrer-, -kûnzi",,9
8778,CHANGED,,ikirârànkúra,,"plante médicinale, diurétique",,n,,ibi-,,718
8779,CHANGED,,intákurá,,"plante, animal qui ne grandit pas.",,intákurá,,,,910
8781,CHANGED,,kwîkūra,,"s'arracher, s'ôter. S'enlever. Se libérer, se délivrer, se dégager.",,verb,,-ye,,
8782,CHANGED,,umukûôrá,,"habit usagé qwon cède à ggn. - ukurâho, v. -râho.",,,,,,314
8783,CHANGED,,gukûráho,,"abolir, lever une défense. Syn. kuzirūra. Oblitérer. igikurājoro, V. -jOro.",,,,-ycho,,
